epoch,train_loss,val_loss,train_mse,val_mse
1,0.5107647676467896,0.07836037874221802,0.07750097,0.07836038
2,0.10088094183802605,0.05834884196519852,0.06251626,0.058348842
3,0.08009449142217637,0.04726540669798851,0.047753323,0.04726541
4,0.06769687023758889,0.045280978083610535,0.048661508,0.045280978
5,0.061343759447336194,0.04148440808057785,0.04439514,0.041484408
6,0.05811679473519325,0.04204348474740982,0.04638298,0.042043485
7,0.056195273771882055,0.041203051805496216,0.046210974,0.04120305
8,0.05144409842789173,0.03775873780250549,0.041053895,0.037758738
9,0.050932697996497155,0.03607634827494621,0.03972299,0.03607635
10,0.04786611783504486,0.038290686905384064,0.04331808,0.038290687
11,0.049066184535622594,0.03906695172190666,0.04147214,0.03906695
12,0.04588455770909786,0.034210722893476486,0.036603384,0.03421072
13,0.04668928185105324,0.037994902580976486,0.038582943,0.037994903
14,0.04453307618200779,0.03745527192950249,0.03917715,0.037455272
15,0.04475832684338093,0.03580456227064133,0.03837256,0.035804566
16,0.04425860334932804,0.035720717161893845,0.037082747,0.035720717
17,0.043443015590310094,0.03210126608610153,0.0320863,0.032101266
18,0.04333025477826595,0.04209364578127861,0.041557886,0.04209365
19,0.041390038207173345,0.03335301950573921,0.03320336,0.03335302
20,0.04139035159349441,0.03448540344834328,0.037323013,0.034485403
21,0.042021399974823,0.03597750887274742,0.040303048,0.035977505
22,0.04325732527673244,0.03522384166717529,0.03759133,0.03522384
23,0.041410529106855394,0.03604787215590477,0.036466412,0.036047872
24,0.04064504520595074,0.03439423069357872,0.03477067,0.034394234
25,0.0402633827328682,0.03228328749537468,0.034877703,0.03228329
26,0.039221281126141545,0.03315569832921028,0.035343457,0.0331557
27,0.0388790974766016,0.034804798662662506,0.03444649,0.034804802
28,0.040439214453101155,0.03165659308433533,0.030701924,0.031656593
29,0.03908060094714165,0.033051423728466034,0.035099618,0.033051424
30,0.03963831196725368,0.03363524004817009,0.03382346,0.03363524
31,0.03842374850809574,0.03155382722616196,0.03216117,0.031553827
32,0.03824467553198337,0.036046843975782394,0.03493182,0.036046844
33,0.03763184009492397,0.031389303505420685,0.03215348,0.031389304
34,0.03764762400835753,0.03222493827342987,0.03168351,0.03222494
35,0.037856849767267706,0.0334538072347641,0.03234481,0.033453807
36,0.03840991654247045,0.03741389140486717,0.038063157,0.03741389
37,0.0376994549036026,0.034513652324676514,0.03360523,0.034513652
38,0.03667066076397896,0.0329166017472744,0.032298032,0.032916605
39,0.03635661778599024,0.03684867173433304,0.03557308,0.036848668
40,0.03866302400827408,0.03770232945680618,0.03796598,0.03770233
41,0.03667528034001589,0.029055774211883545,0.029125335,0.029055774
42,0.036783389531075954,0.0389784500002861,0.03710852,0.038978454
43,0.03649839344620705,0.0296699870377779,0.0288001,0.029669987
44,0.03551246440410614,0.030769141390919685,0.029202245,0.030769141
45,0.03660048696398735,0.034877974539995193,0.033259574,0.03487798
46,0.03572246085852385,0.03181371092796326,0.032119844,0.03181371
47,0.0358723152577877,0.03025755286216736,0.029834595,0.030257553
48,0.036182541996240616,0.033543139696121216,0.030586697,0.03354314
49,0.03597492004930973,0.03496863692998886,0.03237366,0.03496864
50,0.03605994814634323,0.033014003187417984,0.03195384,0.033014003
51,0.034526262126863,0.03460263833403587,0.034512293,0.03460264
52,0.035910483099520205,0.02912314049899578,0.027346967,0.029123144
53,0.03430292478203773,0.034459587186574936,0.034642085,0.034459583
54,0.03520513520389795,0.030595699325203896,0.029811192,0.030595703
55,0.035776447355747226,0.032755911350250244,0.03053798,0.032755908
56,0.0347847755625844,0.031699854880571365,0.029963417,0.03169986
57,0.0346999694108963,0.03233475983142853,0.028861005,0.03233476
58,0.03583226552605629,0.0289940033107996,0.02784998,0.028994003
59,0.03427484457939863,0.034599773585796356,0.034557607,0.034599774
60,0.03433526115864515,0.03682665154337883,0.034527753,0.036826648
61,0.03418436236679554,0.032550424337387085,0.03186707,0.032550424
62,0.03416095113009215,0.03139210864901543,0.031459007,0.03139211
63,0.03374183905869722,0.03041500598192215,0.027448362,0.030415006
64,0.03472954734414816,0.03339055925607681,0.03195294,0.03339056
65,0.0337821587100625,0.04214983060956001,0.037066564,0.04214983
66,0.03399113406985998,0.032575823366642,0.0296912,0.032575823
67,0.03381247893720865,0.039788275957107544,0.03896539,0.03978828
68,0.03382734440267086,0.03910641744732857,0.035978034,0.039106417
69,0.03313445933908224,0.03378313407301903,0.029200135,0.033783134
70,0.03333894537389279,0.030922219157218933,0.027875684,0.03092222
71,0.03285858339071274,0.032551705837249756,0.029190795,0.032551706
72,0.032479739561676976,0.033296436071395874,0.029249147,0.033296432
73,0.03307219200581312,0.037361029535532,0.032341804,0.03736103
74,0.033888797335326674,0.03392283618450165,0.029675134,0.033922836
75,0.03242582212388515,0.029141204431653023,0.02625253,0.029141204
76,0.031842221423983574,0.03545885905623436,0.029564817,0.03545886
77,0.03397698502242565,0.037163179367780685,0.03414117,0.037163183
78,0.03375614520907402,0.03590095788240433,0.032273307,0.035900958
79,0.033338423401117326,0.03420897200703621,0.031294644,0.034208972
80,0.032288795240223406,0.03465905413031578,0.032499198,0.034659054
81,0.03286574053019285,0.038752950727939606,0.03443936,0.03875295
82,0.031644631549715994,0.03894574195146561,0.034080334,0.038945742
83,0.03212426888942718,0.03478826954960823,0.030940192,0.03478827
84,0.03168575222790241,0.02931066043674946,0.025194362,0.029310664
85,0.032161228895187376,0.03700743615627289,0.03188774,0.037007436
86,0.03226185002177954,0.033903345465660095,0.032543186,0.033903345
87,0.03263456217944622,0.04314969480037689,0.041681334,0.04314969
88,0.031219356693327427,0.03179465979337692,0.02854578,0.03179466
89,0.03238213316351175,0.035248685628175735,0.028825153,0.035248686
90,0.03302320350706577,0.034612637013196945,0.028617801,0.034612637
91,0.031263467825949194,0.03495953232049942,0.029750166,0.034959532
92,0.03211437310278416,0.03061749041080475,0.029340623,0.03061749
93,0.031848206706345084,0.032225918024778366,0.027939716,0.032225918
94,0.03268472345173359,0.03802414610981941,0.033606727,0.038024146
95,0.03209864093363285,0.041297052055597305,0.036953684,0.041297052
96,0.031589482575654984,0.03817494586110115,0.03390415,0.038174942
97,0.03148046310991049,0.037871088832616806,0.033397783,0.03787109
98,0.030834061942994595,0.03632795810699463,0.030930016,0.036327958
99,0.031007015429437162,0.03340199589729309,0.029761378,0.033401996
100,0.030616371899843217,0.03204374015331268,0.028554011,0.03204374
