epoch,train_loss,val_loss,train_acc_pct,val_acc_pct
1,1.15695,0.93147,46.25,56.26
2,0.89529,0.87288,55.17,56.82
3,0.8531,0.78859,57.28,60.85
4,0.80059,1.09311,59.67,45.64
5,0.79948,1.03514,59.81,56.44
6,0.73164,0.7218,63.73,64.51
7,0.68947,0.7126,64.89,64.05
8,0.68262,0.73009,65.2,65.15
9,0.67505,0.65476,65.21,67.33
10,0.66552,1.34796,65.47,55.97
11,0.65266,0.69629,66.24,66.36
12,0.63783,0.69783,66.46,64.64
13,0.63096,0.67147,67.02,66.18
14,0.6305,0.74969,67.37,65.49
15,0.62517,0.6484,67.36,67.08
16,0.62554,0.61015,67.37,71.0
17,0.61646,0.91757,67.63,64.95
18,0.6317,0.84994,68.08,62.85
19,0.6226,0.63773,68.13,68.0
20,0.61398,0.67691,68.02,62.15
21,0.59385,0.91823,69.2,69.49
22,0.5899,0.64519,70.06,67.85
23,0.57416,0.57508,71.45,73.64
24,0.56966,0.63354,71.53,68.62
25,0.55419,0.71181,72.71,71.21
26,0.55117,0.55623,72.63,74.97
27,0.54393,0.75778,73.48,64.21
28,0.53785,0.7347,74.11,67.51
29,0.52071,0.73568,74.82,66.92
30,0.5248,0.6659,74.51,66.67
31,0.5363,0.60051,73.96,69.79
32,0.51878,0.63937,74.89,73.62
33,0.48906,0.59654,76.71,72.46
34,0.49056,0.52954,76.66,76.1
35,0.48575,0.55149,76.56,75.87
36,0.4814,0.62209,76.75,71.03
37,0.47566,0.57649,77.48,75.15
38,0.47813,0.56498,77.12,73.67
39,0.4695,0.91525,77.47,63.18
40,0.47152,0.54833,77.53,75.18
41,0.44728,0.5947,78.78,72.82
42,0.44399,0.60706,78.96,73.23
43,0.44396,0.52671,78.63,76.67
44,0.44045,0.62592,78.85,75.18
45,0.43447,0.55943,79.02,74.62
46,0.44331,0.55417,78.74,76.44
47,0.43928,0.58874,78.98,75.31
48,0.44444,0.55431,78.89,76.46
49,0.43248,0.55775,79.67,75.51
50,0.42958,0.62431,79.63,72.28
